,Unnamed: 0,Unnamed: 0.1,RealGM ID,Season,Name,Position 1,Position 2,Play Style,Height,Weight,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Stock%,TOV%,Adjusted TOV%,USG%,Offensive Load,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,3 Point Proficiency,3 Point Confidence,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,FGA/100Poss.1,# Dunks,Dunk vs Rim Shot Percentage,% Dunks Unassisted,Dunks per Minute Played,Unassisted Shots @ Rim /100Poss,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,% Assisted,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU 3P%,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Box Score Creation,Rim Shot Creation,Helio Score,Athleticism Score,Passing Score,Rebounding Score,Shooting Score,Finishing Score,Defense Score,Shot Creation Score,College Productivity Score,Overall Score
20,44,9,131989,2021-22,Keeshawn Barthelemy,SG,PG,Scorer,74,163.0,Colorado,Pac-12,21.0,12.0,6.15,2.0,"Jan 2, 2001",21.49,170.0,33,28,853,16.8,0.542,0.493,0.423,0.314,350.0,1.7,8.7,5.3,19.5,1.4,0.6,0.84,11.6,0.091,22.8,32.866,1.9,1.1,3.0,0.141,2.8,1.1,3.9,1.77,111.7,102.8,0.246,0.95,5.8,13.7,0.42,3.8,7.9,0.473,2.0,5.8,0.347,0.247,0.3812493506493506,3.6,4.3,0.826,3.7,3.7,1.0,0.2,2.1,1.6,17.1,8.4,20.1,5.5,11.6,2.9,8.5,5.2,6.3,5.4,5.4,1.4,0.3,3.0,2.4,25.0,20.1,4.0,4.36,0.95011376,0.0046893317702227,4.3801116,31.4,53.3,30.6,26.3,40.3,29.0,42.3,93.0,56.5744,2018-19,Brookwood Elite,Gold Gauntlet 17U,3.0,2.0,19.0,5.33,1.67,5.33,0.313,0.0,1.0,0.0,2.0,3.0,0.667,1.0,1.67,2.67,2.33,0.0,0.0,1.0,0.67,2018.0,U17 World Cup,7.0,16:50,5.4,2.0,5.9,0.341,0.6,2.4,0.235,0.9,1.4,0.6,1.4,2.1,0.7,0.4,1.6,0.9,4th,4.118,49.776,1.009651610668807,0.47863247863247865,0.8347107438016529,0.1446280991735537,0.8319327731092437,0.29411764705882354,0.2644628099173554,0.5630252100840336,0.5826446280991735,49.9
21,45,50,140014,2021-22,Marcus Hammond,SG,PG,Scorer,75,173.0,Niagara,MAAC,14.0,15.0,-2.98,4.0,,,400.0,29,29,985,21.5,0.561,0.514,0.454,0.321,498.0,2.6,14.2,8.5,19.8,1.5,0.9,1.125,12.1,0.099,29.4,40.449,2.6,1.3,4.0,0.162,4.6,-0.7,3.9,1.31,109.7,101.6,0.362,-0.85,7.1,16.4,0.43,4.3,9.0,0.48,2.8,7.5,0.37,0.269,0.4077184466019418,4.4,5.3,0.831,5.6,3.4,1.0,0.3,2.6,2.4,21.3,10.8,25.0,6.6,13.7,4.2,11.4,6.7,8.0,8.5,5.2,1.5,0.5,4.0,3.6,32.4,25.0,0.0,0.0,0.0,0.0,4.3066,24.4,51.5,29.4,30.1,45.1,18.2,45.4,52.9,36.6684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.635,48.434,,0.3418803418803419,0.6363636363636364,0.4669421487603306,0.9495798319327731,0.15126050420168066,0.4214876033057851,0.9411764705882353,0.5041322314049587,55.2
22,48,69,132154,2021-22,Isaac Likekele,SG,PG,Slasher,77,215.0,Oklahoma State,Big 12,15.0,15.0,10.58,4.0,"Feb 25, 2000",22.35,156.0,30,30,927,12.3,0.456,0.442,0.053,0.272,253.0,5.7,14.1,10.0,21.3,2.3,0.8,1.1870967741935483,20.2,0.153,15.7,24.209,0.4,1.8,2.2,0.096,0.4,3.4,3.8,1.73,95.6,95.5,0.255,0.97,3.9,8.9,0.437,3.8,8.4,0.451,0.1,0.5,0.182,0.035,0.0820936170212766,1.3,2.4,0.536,7.1,4.4,1.6,0.3,2.5,2.2,9.1,5.6,12.9,5.5,12.2,0.1,0.7,1.9,3.5,10.3,6.4,2.3,0.4,3.7,3.1,13.3,12.9,2.0,1.83,0.70281882,0.0021574973031283,4.954296599999999,52.9,56.9,27.4,41.7,30.2,19.2,5.3,50.0,25.151,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,U19 World Cup,7.0,20:12,8.4,3.6,7.0,0.51,0.1,0.9,0.167,1.1,2.3,0.5,5.9,3.1,1.7,0.1,1.6,1.0,Gold,1.775,54.224,0.5731121434607721,0.5042735042735043,0.8760330578512396,0.5785123966942148,0.08403361344537816,0.6764705882352942,0.7024793388429752,0.6890756302521008,0.7107438016528925,60.3
23,51,109,117477,2021-22,Joe Toussaint,SG,PG,Slasher,72,190.0,Iowa,Big Ten,26.0,10.0,6.87,3.0,"Oct 6, 2000",21.73,293.0,36,21,625,14.9,0.494,0.454,0.246,0.218,205.0,2.8,8.0,5.4,28.4,4.6,0.2,0.3833333333333333,23.8,0.154,16.0,29.198,0.8,1.0,1.7,0.112,0.0,3.7,3.7,2.33,104.5,99.7,0.162,4.23,3.8,9.1,0.423,3.3,6.8,0.477,0.6,2.2,0.257,0.15,0.2513797216699801,1.7,2.0,0.839,3.9,7.3,3.3,0.1,3.1,3.5,9.9,5.5,12.9,4.6,9.7,0.8,3.2,2.4,2.8,5.6,10.4,4.6,0.1,4.5,5.0,14.1,12.9,0.0,0.0,0.0,0.0,3.6400446,35.9,54.9,21.4,39.4,41.1,0.0,24.6,77.8,26.821400000000004,2018-19,PSA Cardinals,Nike 17U,10.0,9.0,9.9,5.6,2.0,5.4,0.37,0.3,1.4,0.214,1.3,2.3,0.565,0.0,1.7,1.7,5.1,1.9,0.0,2.6,1.7,,,,,,,,,,,,,,,,,,,,,,3.869,52.232,0.524701001595486,0.13675213675213677,0.9917355371900827,0.16115702479338842,0.5630252100840336,0.41596638655462187,0.30991735537190085,0.6974789915966386,0.45454545454545453,46.6
24,54,33,117435,2021-22,Al-Amir Dawes,SG,PG,Shooter,74,180.0,Clemson,ACC,17.0,16.0,6.31,3.0,"Sep 28, 2001",20.75,108.0,33,25,980,15.1,0.578,0.548,0.718,0.201,342.0,0.5,10.8,5.7,14.8,1.8,0.1,0.1894736842105263,14.4,0.114,20.4,29.04,1.7,0.9,2.7,0.108,3.1,0.6,3.7,1.39,108.6,105.8,0.228,-0.42,4.9,12.0,0.405,1.4,3.4,0.422,3.4,8.6,0.398,0.342,0.5121218637992832,2.0,2.4,0.847,3.8,3.1,1.2,0.0,2.2,1.6,15.2,7.3,18.0,2.1,5.1,5.1,12.9,3.1,3.6,5.8,4.6,1.8,0.1,3.3,2.3,22.8,18.0,0.0,0.0,0.0,0.0,2.297322,16.3,47.9,21.7,11.9,34.3,16.7,71.8,65.5,52.5534,2018-19,Playaz Club,Nike 17U,10.0,9.0,17.8,16.8,5.1,13.1,0.389,2.4,5.6,0.429,4.1,6.2,0.661,0.0,3.5,3.5,3.1,1.4,0.1,2.4,1.5,2019.0,Universiade,6.0,18:50,7.0,1.8,6.2,0.297,1.5,3.3,0.45,1.8,2.2,0.846,2.2,2.3,0.8,0.0,1.8,2.5,Gold,3.785,44.382,1.1579077851455046,0.08974358974358974,0.6900826446280992,0.2190082644628099,0.7983193277310925,0.08823529411764706,0.07024793388429752,0.7647058823529411,0.3884297520661157,38.9
25,55,65,122378,2021-22,Jarkel Joiner,SG,PG,Scorer,73,180.0,Ole Miss,SEC,9.0,13.0,7.25,4.0,"May 20, 1999",23.12,,22,17,681,17.3,0.522,0.48,0.414,0.253,270.0,1.2,10.5,5.7,16.2,2.3,0.2,0.368,6.7,0.056,23.1,31.859,1.5,0.7,2.2,0.13,2.2,1.4,3.6,2.55,110.9,104.4,0.272,2.07,6.0,14.6,0.41,3.9,8.6,0.459,2.1,6.0,0.34,0.24,0.373368700265252,3.1,3.7,0.825,3.8,3.0,1.5,0.1,1.2,2.6,17.1,8.9,21.8,5.9,12.8,3.1,9.0,4.6,5.5,5.7,4.5,2.3,0.1,1.8,3.9,25.5,21.8,5.0,8.08,1.52503536,0.0073421439060205,4.114575599999999,24.9,53.2,24.2,33.7,40.5,23.5,41.4,71.4,43.504900000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.446,50.702,0.323674071924919,0.3162393162393162,0.859504132231405,0.2190082644628099,0.7647058823529411,0.22268907563025211,0.11570247933884298,0.7394957983193278,0.5702479338842975,47.599999999999994
26,59,59,107973,2021-22,Eric Hunter,SG,PG,Slasher,76,170.0,Purdue,Big Ten,29.0,8.0,8.23,4.0,"Jan 23, 1999",23.44,150.0,37,19,956,11.0,0.581,0.561,0.451,0.312,237.0,2.5,7.0,4.9,12.7,1.5,0.1,0.1875,17.8,0.135,13.0,20.005,1.5,0.8,2.3,0.096,1.5,1.7,3.3,1.7,115.1,107.2,0.149,0.61,3.3,7.2,0.462,1.9,4.0,0.484,1.4,3.3,0.436,0.313,0.4433731679819617,1.5,2.3,0.685,3.3,3.1,1.0,0.0,1.8,2.3,9.7,5.0,10.9,2.9,6.0,2.1,4.9,2.3,3.4,5.0,4.6,1.5,0.1,2.7,3.5,14.5,10.9,2.0,3.04,0.74205792,0.002092050209205,2.6606682,38.2,54.5,36.1,16.8,34.5,20.0,45.1,85.3,55.62050000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041,47.006,0.2722287734358177,0.2564102564102564,0.7603305785123967,0.09917355371900827,0.6470588235294118,0.42857142857142855,0.024793388429752067,0.31092436974789917,0.4462809917355372,37.2
27,63,6,121650,2021-22,Tyree Appleby,SG,PG,Shooter,73,165.0,Florida,SEC,20.0,14.0,7.84,4.0,"Sep 30, 1998",23.75,,34,27,931,15.7,0.555,0.482,0.691,0.455,381.0,0.2,9.1,4.5,27.1,2.7,0.5,0.84375,20.6,0.15,23.2,37.428,1.7,1.2,2.8,0.121,2.3,0.9,3.1,1.44,105.8,102.7,0.273,-0.4,4.3,11.8,0.364,1.5,3.7,0.412,2.8,8.2,0.342,0.289,0.4575450145208132,4.6,5.4,0.848,3.1,5.4,1.8,0.2,3.7,2.8,15.9,6.4,17.7,2.3,5.5,4.2,12.2,6.8,8.0,4.6,8.0,2.7,0.3,5.6,4.2,23.9,17.7,2.0,3.77,0.6963227700000002,0.0021482277121374,3.2692077,19.3,43.4,4.3,11.6,37.5,0.0,69.1,56.9,40.1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.445,45.59,0.3444160105610963,0.7564102564102564,0.7933884297520661,0.0743801652892562,0.8403361344537815,0.08823529411764706,0.2975206611570248,0.9495798319327731,0.5454545454545454,54.300000000000004
28,64,93,127840,2021-22,Xavier Pinson,PG,SG,Athletic,74,154.0,LSU,SEC,20.0,8.0,8.3,4.0,"Jun 23, 2000",22.02,248.0,28,27,786,13.6,0.479,0.414,0.406,0.373,316.0,2.4,7.3,4.9,32.0,3.8,0.0,0.0,23.7,0.169,23.2,37.843,0.5,1.7,2.2,0.111,0.2,2.9,3.0,1.49,95.4,93.2,0.298,-0.04,4.5,12.4,0.365,3.3,7.4,0.448,1.2,5.0,0.242,0.17,0.3032469135802469,3.7,4.6,0.802,3.5,6.8,2.7,0.0,4.5,3.3,14.0,6.4,17.6,4.7,10.5,1.7,7.2,5.3,6.6,4.9,9.6,3.8,0.0,6.4,4.7,19.9,17.6,4.0,4.04,1.57791088,0.005089058524173,6.874067200000001,40.6,53.5,3.8,18.9,26.1,0.0,40.6,41.7,18.473000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,59.307,1.1279547912251118,0.6153846153846154,0.8429752066115702,0.09917355371900827,0.21008403361344538,0.453781512605042,0.4297520661157025,0.9831932773109243,0.5537190082644629,52.400000000000006
29,68,108,117482,2021-22,Isaiah Thompson,PG,SG,Shooter,73,160.0,Purdue,Big Ten,29.0,8.0,8.23,3.0,"Jun 12, 2000",22.05,211.0,37,20,605,10.8,0.626,0.6,0.773,0.264,146.0,1.9,5.0,3.5,9.5,0.6,0.6,0.6,12.1,0.097,12.0,17.61,1.3,0.4,1.6,0.107,2.2,0.6,2.8,2.06,128.4,109.7,0.081,1.08,3.2,7.3,0.436,0.8,1.7,0.48,2.4,5.6,0.424,0.376,0.5476223893065998,1.5,1.9,0.793,2.4,2.3,0.4,0.2,1.1,2.6,10.2,4.8,10.9,1.2,2.5,3.6,8.4,2.3,2.9,3.6,3.5,0.6,0.3,1.7,3.9,15.4,10.9,0.0,0.0,0.0,0.0,0.3397965999999999,10.9,58.3,71.4,11.8,38.5,40.0,77.3,97.2,87.6382,2018-19,Spiece Indy Heat,Nike 17U,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.552,37.408,0.262041431250075,0.017094017094017096,0.768595041322314,0.01652892561983471,0.907563025210084,0.21008403361344538,0.08264462809917356,0.05042016806722689,0.47107438016528924,31.6
30,69,7,128406,2021-22,Devin Askew,SG,PG,Connector,75,195.0,Texas,Big 12,22.0,12.0,8.87,2.0,"Jul 26, 2002",19.93,32.0,34,3,505,7.8,0.477,0.462,0.385,0.338,85.0,0.7,7.1,3.9,16.0,3.2,0.7,1.1487179487179486,25.6,0.183,10.7,17.444,0.1,0.9,1.0,0.079,-1.8,4.5,2.8,1.73,92.0,96.2,0.085,0.85,2.1,5.1,0.4,1.4,3.2,0.45,0.6,2.0,0.32,0.208,0.3495035460992908,1.0,1.7,0.545,2.5,3.6,2.1,0.2,2.1,3.1,5.7,3.2,8.0,2.2,4.9,1.0,3.1,1.5,2.7,3.9,5.5,3.2,0.4,3.2,4.8,8.8,8.0,0.0,0.0,0.0,0.0,1.3551999999999995,24.2,62.5,30.0,37.9,32.0,0.0,37.9,100.0,45.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.302,53.107,0.6283458635186957,0.37606837606837606,0.8181818181818182,0.03305785123966942,0.3025210084033613,0.46218487394957986,0.640495867768595,0.21008403361344538,0.4380165289256198,41.0
31,71,70,131777,2021-22,Kyle Lofton,PG,SG,Floor General,75,185.0,St. Bonaventure,A-10,21.0,9.0,4.79,4.0,"May 31, 1999",23.08,,30,30,1155,16.4,0.497,0.445,0.305,0.296,439.0,2.5,8.6,5.6,28.4,3.1,0.3,0.5470588235294117,16.6,0.117,21.3,34.288,1.7,1.5,3.2,0.111,1.2,1.5,2.7,2.29,104.1,102.5,0.398,3.62,4.7,11.7,0.402,3.7,8.1,0.455,1.0,3.6,0.282,0.183,0.2930494037478705,2.8,3.5,0.82,3.7,6.1,2.1,0.1,2.7,2.1,13.3,7.1,17.7,5.6,12.3,1.5,5.4,4.3,5.2,5.6,9.2,3.1,0.2,4.0,3.2,20.0,17.7,1.0,0.93,0.20518776,0.0008658008658008,3.905186399999999,31.7,52.3,30.4,37.9,39.8,5.9,30.5,72.4,33.9549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.755,48.316,0.6482213087304274,0.27350427350427353,0.9669421487603306,0.2024793388429752,0.5462184873949579,0.2689075630252101,0.21487603305785125,0.8907563025210085,0.2396694214876033,45.0
32,72,22,134166,2021-22,Devan Cambridge,SG,PG,Slasher,78,215.0,Auburn,SEC,27.0,6.0,8.17,3.0,"Jan 30, 2001",21.41,217.0,33,14,646,12.1,0.483,0.46,0.524,0.22,183.0,9.2,10.0,9.6,5.6,1.6,1.7,1.6484848484848482,11.3,0.103,15.0,19.429,0.8,1.0,1.8,0.113,1.0,1.7,2.7,0.91,107.7,99.4,0.095,-1.34,4.1,10.2,0.402,2.9,4.8,0.603,1.2,5.3,0.221,0.168,0.3108832214765101,1.5,2.2,0.667,7.3,1.3,1.1,0.6,1.4,3.4,10.8,5.7,14.2,4.1,6.8,1.7,7.5,2.1,3.1,10.2,1.8,1.6,0.9,2.0,4.8,15.2,14.2,27.0,41.6,3.8189631999999993,0.0417956656346749,1.3035883999999995,39.4,66.2,76.7,7.9,30.8,50.0,52.7,94.7,84.07670000000002,2018-19,Brad Beal Elite,Nike 17U,4.0,0.0,4.8,2.0,1.0,3.25,0.308,0.0,1.25,0.0,0.5,0.5,1.0,0.0,2.5,2.5,0.0,0.0,0.0,1.25,1.25,,,,,,,,,,,,,,,,,,,,,,0.72,45.295,0.3503908979317074,0.36324786324786323,0.3305785123966942,0.5619834710743802,0.16806722689075632,0.7647058823529411,0.6694214876033058,0.058823529411764705,0.5165289256198347,42.9
33,82,104,108569,2021-22,Grant Sherfield,PG,SG,Scorer,74,228.0,Nevada,MWC,13.0,15.0,6.07,3.0,"Oct 29, 1999",22.67,164.0,28,28,999,19.5,0.542,0.487,0.314,0.307,559.0,0.6,12.8,6.8,39.0,1.0,0.0,0.0,15.6,0.111,29.4,45.905,2.5,0.7,3.1,0.125,3.4,-1.4,2.0,1.97,107.4,108.9,0.494,2.7,7.5,17.2,0.435,5.7,11.8,0.481,1.8,5.4,0.333,0.219,0.3232210200927357,4.6,5.3,0.871,4.7,7.2,0.7,0.0,3.6,2.3,21.4,10.5,24.2,8.0,16.6,2.5,7.6,6.5,7.4,6.6,10.1,1.0,0.0,5.1,3.2,30.0,24.2,0.0,0.0,0.0,0.0,5.057315999999999,25.8,56.8,19.0,42.8,42.9,2.5,31.4,60.0,24.812,2018-19,MoKan Elite,Nike 17U,2.0,1.0,13.0,8.0,3.0,8.5,0.353,1.0,4.0,0.25,1.0,1.0,1.0,0.0,2.5,2.5,2.0,0.0,0.0,0.5,1.0,2017.0,adidas Nations,10.0,23:00,10.1,4.0,9.3,0.43,1.3,3.4,0.382,0.8,1.6,0.5,1.6,1.6,0.6,0.0,0.9,1.4,7th,8.076,56.286,1.2136233020976896,0.23931623931623933,0.9752066115702479,0.359504132231405,0.7815126050420168,0.3445378151260504,0.01652892561983471,1.0,0.32231404958677684,50.5
34,86,2,151266,2021-22,Nahiem Alleyne,SG,PG,Shooter,76,195.0,Virginia Tech,ACC,23.0,13.0,6.48,3.0,"Jul 23, 2001",20.94,,36,36,1120,11.2,0.518,0.482,0.544,0.2,316.0,0.5,10.9,5.8,8.7,1.3,0.1,0.1857142857142857,10.9,0.094,18.6,24.497,1.3,1.3,2.7,0.095,0.7,1.0,1.7,1.29,104.2,103.3,0.181,-0.55,4.1,10.9,0.38,1.9,5.0,0.388,2.2,5.9,0.373,0.288,0.4425561613958561,1.9,2.2,0.852,3.6,1.9,0.9,0.0,1.5,1.9,12.4,6.5,17.1,3.0,7.8,3.5,9.3,2.9,3.4,5.7,3.0,1.3,0.1,2.3,3.0,19.4,17.1,3.0,7.86,0.7977900000000001,0.0026785714285714,1.7356500000000004,12.5,42.1,18.8,33.1,37.6,28.9,54.4,83.9,57.557500000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889,39.278,0.779276063093238,0.2222222222222222,0.5082644628099173,0.23553719008264462,0.8487394957983193,0.025210084033613446,0.10330578512396695,0.3865546218487395,0.128099173553719,30.7
35,94,92,132155,2021-22,Rob Phinisee,SG,PG,Shooter,73,187.0,Indiana,Big Ten,16.0,9.0,8.08,3.0,"Oct 13, 1999",22.72,,25,0,457,8.1,0.383,0.38,0.522,0.123,123.0,2.9,10.1,6.6,17.3,2.6,1.3,1.7333333333333334,13.6,0.109,19.3,27.439,-0.2,0.7,0.5,0.043,-2.1,3.1,1.0,1.87,84.2,98.9,0.131,1.26,3.8,12.1,0.312,2.1,5.8,0.364,1.7,6.3,0.264,0.201,0.3506564885496183,0.6,1.5,0.412,4.6,3.8,1.8,0.4,2.0,3.2,9.8,5.5,17.8,3.1,8.5,2.5,9.3,0.9,2.2,6.7,5.5,2.6,0.6,3.0,4.8,14.4,17.8,0.0,0.0,0.0,0.0,3.51728,30.4,47.6,35.0,17.4,16.7,50.0,52.2,57.9,49.5638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.162,43.105,0.2660831706016389,0.18803418803418803,0.8842975206611571,0.30991735537190085,0.10084033613445378,0.17647058823529413,0.7107438016528925,0.42016806722689076,0.128099173553719,36.5
36,100,14,169280,2021-22,Trey Bonham,SG,PG,Slasher,72,170.0,VMI,Southern,14.0,15.0,-2.05,2.0,,,400.0,29,29,794,22.8,0.592,0.534,0.322,0.438,422.0,3.8,13.3,8.9,28.4,2.8,0.5,0.8484848484848485,15.9,0.116,25.8,39.741,2.8,0.8,3.6,0.182,1.4,-0.7,0.7,1.83,118.0,105.2,0.311,1.71,6.6,13.9,0.478,5.1,9.4,0.54,1.6,4.5,0.348,0.23,0.3344955223880597,5.0,6.1,0.826,6.4,5.8,1.9,0.2,3.2,3.9,19.9,9.6,20.1,7.4,13.6,2.3,6.5,7.3,8.8,9.2,8.4,2.8,0.2,4.6,5.7,28.8,20.1,0.0,0.0,0.0,0.0,9.6591555,54.3,58.0,11.5,13.4,37.8,7.1,32.2,54.8,24.8415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,64.634,,0.5897435897435898,0.9504132231404959,0.49586776859504134,0.6554621848739496,0.7058823529411765,0.18181818181818182,0.9663865546218487,0.2975206611570248,60.5
37,103,25,176042,2021-22,Camryn Carter,SG,PG,Primary,75,185.0,Mississippi State,SEC,17.0,10.0,7.6,1.0,"Mar 17, 2003",19.29,,27,4,229,10.6,0.487,0.453,0.377,0.302,64.0,2.1,8.9,5.6,20.5,2.9,1.6,2.062222222222222,23.9,0.179,17.8,27.951,0.1,0.3,0.4,0.066,-2.0,2.1,0.2,1.32,92.6,101.0,0.067,-1.07,3.7,9.3,0.396,2.6,5.8,0.455,1.0,3.5,0.3,0.205,0.3341211225997046,1.9,2.8,0.688,3.7,4.4,1.9,0.5,3.3,3.1,10.3,5.5,13.9,3.9,8.7,1.6,5.2,2.9,4.2,5.5,6.6,2.9,0.8,5.0,4.7,15.5,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,1.670327341479204,,0.7107438016528925,0.2024793388429752,,,0.6694214876033058,,0.08264462809917356,
38,107,27,151214,2021-22,Frankie Collins,SG,PG,Slasher,73,185.0,Michigan,Big Ten,18.0,13.0,11.02,1.0,"Jan 23, 2002",20.43,47.0,31,1,340,8.7,0.448,0.445,0.22,0.415,102.0,2.6,15.9,9.4,22.2,2.1,0.6,0.9333333333333332,26.3,0.199,20.3,30.715,-0.2,0.4,0.2,0.023,-2.5,2.4,-0.2,1.23,84.3,103.7,0.093,-1.91,4.1,9.6,0.427,3.8,7.5,0.5,0.4,2.1,0.167,0.095,0.1898708010335917,1.8,4.0,0.441,6.2,5.1,1.4,0.2,4.1,4.1,10.4,6.1,14.3,5.6,11.2,0.5,3.1,2.6,5.9,9.2,7.5,2.1,0.3,6.1,6.1,15.3,14.3,2.0,3.97,2.29027315,0.0058823529411764,8.2495985,61.7,62.0,6.5,16.0,7.7,0.0,22.2,100.0,26.2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.928,68.194,0.8783519651969695,0.7264957264957265,0.6198347107438017,0.5454545454545454,0.025210084033613446,0.8319327731092437,0.24793388429752067,0.4369747899159664,0.28512396694214875,46.5
39,117,52,139109,2021-22,Cam Hayes,SG,PG,Connector,74,185.0,NC State,ACC,11.0,21.0,6.37,2.0,,,73.0,32,13,668,10.5,0.425,0.387,0.418,0.205,230.0,1.3,12.0,6.2,19.6,2.2,0.6,0.942857142857143,14.6,0.119,23.1,33.722,0.0,0.3,0.3,0.016,-1.9,-0.6,-2.6,1.49,90.2,111.7,0.178,-0.05,4.8,14.3,0.335,3.3,8.3,0.396,1.5,6.0,0.25,0.177,0.312874251497006,2.3,2.9,0.776,4.4,4.0,1.5,0.2,2.7,2.7,13.4,7.1,21.1,4.8,12.3,2.2,8.8,3.3,4.3,6.5,5.9,2.2,0.4,4.0,4.0,19.7,21.1,0.0,0.0,0.0,0.0,3.864127400000001,20.6,55.1,11.1,37.8,31.1,3.6,41.6,36.0,18.6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.224,55.516,,0.26495726495726496,0.7768595041322314,0.26859504132231404,0.2773109243697479,0.22268907563025211,0.10330578512396695,0.8235294117647058,0.008264462809917356,34.300000000000004
40,119,68,143345,2021-22,Khristian Lander,PG,SG,Primary,74,185.0,Indiana,Big Ten,8.0,5.0,8.08,1.0,"Sep 9, 2002",19.81,27.0,13,0,115,5.9,0.546,0.516,0.387,0.258,37.0,0.0,9.7,5.0,20.2,2.1,1.0,1.3548387096774193,34.1,0.264,23.9,34.832,-0.1,0.2,0.0,0.009,-5.5,1.6,-3.9,0.67,79.4,100.1,0.074,-8.41,4.9,10.8,0.452,3.5,6.6,0.526,1.4,4.2,0.333,0.23,0.357975,2.1,2.8,0.75,3.5,4.2,1.4,0.3,6.3,6.6,13.2,7.2,15.9,5.1,9.7,2.1,6.2,3.1,4.1,5.1,6.2,2.1,0.5,9.2,9.7,19.5,15.9,0.0,0.0,0.0,0.0,5.470283700000001,38.7,75.0,11.1,22.6,14.3,100.0,38.7,100.0,65.59570000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.584,75.804,1.595389402443539,0.452991452991453,0.34710743801652894,0.12396694214876033,0.2605042016806723,0.865546218487395,0.5247933884297521,0.09243697478991597,0.04132231404958678,33.900000000000006
