,RealGM ID,Season,Name,Position 1,Position 2,Play Style,Height,Weight,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Stock%,TOV%,Adjusted TOV%,USG%,Offensive Load,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,3 Point Proficiency,3 Point Confidence,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,FGA/100Poss,# Dunks,Dunk vs Rim Shot Percentage,% Dunks Unassisted,Dunks per Minute Played,Unassisted Shots @ Rim /100Poss,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,% Assisted,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU_3P,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Finishing Score,Shooting Score,Shot Creation Score,Passing Score,Rebounding Score,Athleticism Score,Defense Score,College Productivity Score,Percentile Score,Box Score Creation,Rim Shot Creation,Helio Score,Draft Score
34,121327,2021-22,Brad Davison,SG,PG,Shooter,76,202.0,Wisconsin,Big Ten,25.0,8.0,9.16,4.0,"Apr 22, 1999",23.19,108.0,33,33,1136,16.9,0.551,0.492,0.622,0.345,431.0,1.1,12.5,6.6,12.3,1.5,0.0,0.0,6.4,0.053,20.8,28.148,2.9,1.5,4.4,0.154,3.6,2.3,6.0,2.38,117.1,102.2,0.255,1.53,4.9,12.7,0.384,2.1,4.8,0.445,2.7,7.9,0.347,0.281,0.4454778121775026,3.8,4.4,0.864,4.6,2.4,1.0,0.0,1.0,2.8,16.3,7.3,19.0,3.2,7.2,4.1,11.8,5.7,6.6,6.9,3.6,1.5,0.0,1.5,4.2,24.4,19.0,0.0,0.0,0.0,0.0,1.6030870000000002,13.9,57.1,39.3,24.4,38.4,18.2,61.8,80.3,59.52889999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23671497584541062,0.8308457711442786,0.5362318840579711,0.7162790697674418,0.6116279069767442,0.1782178217821782,0.20232558139534884,0.9627906976744186,53.400000000000006,2.858,46.58,0.8322631757676511,0.5641672984632338
335,122384,2021-22,Stanley Umude,SG,PG,Scorer,78,210.0,Arkansas,SEC,28.0,9.0,8.62,4.0,"Apr 12, 1999",23.22,,37,25,1028,17.0,0.559,0.536,0.406,0.247,394.0,4.4,14.1,9.2,8.1,2.0,3.3,2.4905660377358494,12.9,0.113,21.2,27.331,1.8,1.9,3.7,0.144,2.8,3.1,6.0,0.71,107.8,95.9,0.209,-2.84,6.3,13.7,0.46,4.2,8.1,0.522,2.1,5.6,0.371,0.261,0.38771171171171176,2.5,3.4,0.724,6.7,1.6,1.4,1.2,2.3,3.3,17.1,8.8,19.0,5.9,11.3,2.9,7.7,3.4,4.7,9.2,2.2,2.0,1.6,3.1,4.5,23.8,19.0,26.0,31.29,4.105748640000001,0.02529182879377432,2.493104,23.6,65.1,44.4,35.8,43.7,40.0,40.6,98.1,64.62700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6400966183574879,0.8009950248756219,0.1932367149758454,0.04186046511627907,0.858139534883721,0.7599009900990099,0.958139534883721,0.9023255813953488,64.4,2.116,52.905,0.7341641541789059,
1012,169391,2021-22,Darrion Trammell,SG,PG,Scorer,70,165.0,Seattle,WAC,22.0,9.0,-4.1,3,,,400.0,31,31,1037,21.9,0.543,0.469,0.398,0.485,556.0,1.5,10.8,6.1,30.5,4.2,0.4,0.7304347826086957,15.5,0.116,27.7,42.322,2.6,2.4,5.1,0.195,2.8,3.1,6.0,1.7,109.1,91.3,0.399,1.13,6.2,15.5,0.4,4.1,9.3,0.438,2.1,6.2,0.344,0.24,0.3690350404312669,6.2,7.5,0.821,4.6,6.0,3.0,0.2,3.5,2.6,20.7,8.6,21.6,5.7,13.0,3.0,8.6,8.6,10.5,6.3,8.3,4.2,0.2,4.9,3.7,28.8,21.6,0.0,0.0,0.0,0.0,5.916326399999999,30.4,57.7,9.9,30.2,30.3,5.4,39.4,31.5,17.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6473429951690821,0.4129353233830846,0.9806763285024155,0.8116279069767441,0.49767441860465117,0.7475247524752475,0.8093023255813954,0.6883720930232559,69.89999999999999,6.961,60.581,,
273,138320,2021-22,Hunter Cattoor,SG,PG,Shooter,75,200.0,Virginia Tech,ACC,23.0,13.0,6.48,3.0,"Nov 17, 2000",21.62,,36,36,1183,15.1,0.598,0.585,0.716,0.18,335.0,1.3,13.9,7.8,11.4,2.1,0.6,0.9333333333333333,10.7,0.084,15.9,22.571,2.5,1.8,4.3,0.145,3.1,2.7,5.8,2.03,119.5,100.2,0.208,1.16,4.1,9.4,0.435,1.3,2.7,0.481,2.8,6.7,0.417,0.358,0.5270467784642542,1.2,1.7,0.72,4.8,2.5,1.3,0.2,1.2,2.7,12.2,6.4,14.8,2.0,4.2,4.4,10.6,1.9,2.7,7.6,3.9,2.1,0.3,1.9,4.3,19.2,14.8,1.0,1.7,0.26092960000000004,0.0008453085376162299,2.2716224,21.2,49.2,27.6,7.2,45.0,22.2,71.6,88.0,70.4576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16183574879227053,0.9701492537313433,0.21497584541062803,0.6744186046511628,0.7697674418604651,0.3712871287128713,0.6604651162790698,0.7395348837209302,56.99999999999999,2.459,44.069,0.9255236855907153,
60,140878,2021-22,DeVante Jones,PG,SG,Floor General,73,200.0,Michigan,Big Ten,18.0,15.0,11.02,4.0,"Apr 9, 1998",24.23,,33,33,949,17.9,0.551,0.513,0.29,0.283,388.0,4.6,14.1,9.5,29.5,1.9,0.4,0.6608695652173914,18.7,0.127,20.7,34.545,2.2,1.0,3.2,0.134,3.4,2.2,5.6,2.13,111.9,104.8,0.312,3.19,5.3,11.5,0.463,4.2,8.1,0.513,1.1,3.3,0.342,0.218,0.31386075949367087,2.6,3.2,0.792,6.3,6.4,1.3,0.2,3.0,3.6,14.3,7.9,17.0,6.2,12.1,1.7,4.9,3.8,4.8,9.3,9.4,1.9,0.2,4.4,5.3,21.2,17.0,0.0,0.0,0.0,0.0,5.52177,40.1,62.4,19.0,31.3,36.7,0.0,28.6,50.0,21.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.893719806763285,0.5174129353233831,0.9565217391304348,0.9395348837209302,0.8906976744186047,0.48514851485148514,0.2744186046511628,0.9558139534883721,73.9,5.571,61.793,0.7091991866158052,
156,105350,2021-22,Trent Frazier,SG,PG,Shooter,74,175.0,Illinois,Big Ten,21.0,10.0,9.48,4.0,"Sep 8, 1998",23.81,109.0,31,30,1076,14.7,0.535,0.5,0.63,0.216,374.0,1.8,7.1,4.6,21.8,2.2,0.4,0.676923076923077,14.1,0.102,18.4,29.389,2.2,1.4,3.6,0.135,2.5,3.0,5.6,2.29,113.6,102.0,0.306,2.73,4.5,11.3,0.397,2.2,4.2,0.513,2.3,7.1,0.328,0.267,0.4313987473903967,2.0,2.5,0.833,3.2,4.7,1.5,0.1,2.0,2.3,13.4,6.6,16.7,3.2,6.2,3.4,10.5,3.0,3.6,4.8,6.9,2.2,0.2,3.0,3.4,19.7,16.7,0.0,0.0,0.0,0.0,3.0727999999999995,18.4,66.1,0.0,18.7,36.8,28.6,63.0,49.2,36.3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5652173913043478,0.7313432835820896,0.6908212560386473,0.8883720930232558,0.16744186046511628,0.5198019801980198,0.4697674418604651,0.9325581395348838,62.1,4.098,69.173,0.7266069498605767,0.5541073458035094
424,120273,2021-22,Erik Stevenson,SG,PG,Scorer,76,205.0,South Carolina,SEC,18.0,13.0,8.37,4.0,"Apr 28, 1999",23.18,231.0,31,31,844,16.1,0.509,0.462,0.554,0.191,357.0,4.2,14.6,9.3,20.0,2.2,1.3,1.6342857142857143,14.5,0.114,23.1,34.239,1.5,1.4,2.9,0.135,3.2,2.4,5.5,1.43,106.2,98.6,0.253,-0.38,5.7,15.4,0.369,2.8,6.9,0.414,2.8,8.5,0.333,0.259,0.41596843291995494,2.9,2.9,0.984,6.9,4.1,1.6,0.5,2.8,3.5,17.1,7.9,21.3,3.9,9.5,3.9,11.8,4.0,4.1,9.6,5.6,2.2,0.7,3.9,4.9,23.7,21.3,1.0,1.49,0.19091668000000003,0.001184834123222749,2.7292116000000006,20.6,55.2,37.8,23.7,29.9,39.1,55.7,78.3,60.666599999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30917874396135264,0.5422885572139303,0.5217391304347826,0.5116279069767442,0.8674418604651163,0.46534653465346537,0.8860465116279069,0.8604651162790697,62.1,4.244,47.292,1.2140294829340197,0.6035790676898977
699,121490,2021-22,Greg Elliott,SG,PG,Scorer,75,180.0,Marquette,Big East,15.0,13.0,8.96,4.0,"Jan 28, 1999",23.42,224.0,28,1,469,16.9,0.566,0.503,0.591,0.356,188.0,2.0,10.5,6.5,14.5,2.6,0.4,0.6933333333333334,12.1,0.099,21.4,29.306,1.0,0.6,1.6,0.134,3.5,2.0,5.5,1.54,110.7,102.1,0.125,0.14,4.9,12.7,0.389,2.0,5.2,0.393,2.9,7.5,0.386,0.307,0.466992835209826,4.0,4.5,0.887,4.8,3.2,1.9,0.2,2.0,2.5,16.8,6.9,17.8,2.9,7.3,4.1,10.5,5.6,6.3,6.7,4.4,2.6,0.2,2.9,3.5,23.5,17.8,0.0,0.0,0.0,0.0,3.3679023999999997,26.8,42.5,29.4,14.1,33.3,14.3,59.1,91.2,63.7947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178743961352657,0.753731343283582,0.30434782608695654,0.5209302325581395,0.5790697674418605,0.42574257425742573,0.47674418604651164,0.8976744186046511,51.7,3.544,39.706,0.8366725320476547,0.5251996714796093
253,139875,2021-22,Jordan Miller,SG,PG,Slasher,79,195.0,Miami (FL),ACC,25.0,11.0,7.62,3.0,"Jan 23, 2000",22.44,,36,30,1108,20.3,0.613,0.597,0.248,0.26,365.0,8.4,15.0,11.8,6.6,3.4,2.0,2.518518518518518,9.5,0.082,15.7,19.553,2.9,1.4,4.3,0.157,3.6,1.8,5.4,1.29,124.6,102.4,0.19,-0.4,5.3,9.5,0.561,4.6,7.1,0.65,0.7,2.3,0.292,0.174,0.2682074074074074,1.7,2.5,0.706,7.7,1.4,2.3,0.7,1.1,2.6,13.0,7.8,13.9,6.8,10.5,1.0,3.5,2.6,3.6,11.4,2.1,3.4,1.1,1.6,3.9,19.2,13.9,18.0,10.93,3.0652966399999997,0.016245487364620937,3.8982271999999996,62.6,70.7,55.2,12.6,36.4,41.7,24.8,89.5,62.00540000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951690821256038,0.27860696517412936,0.0966183574879227,0.26976744186046514,0.9604651162790697,0.7698019801980198,0.7976744186046512,0.8209302325581396,62.4,1.25,57.634,0.5912534200723769,
168,132186,2021-22,Xavier Johnson,SG,PG,Scorer,75,200.0,Indiana,Big Ten,21.0,13.0,8.08,4.0,"Oct 14, 1999",22.71,232.0,34,34,942,18.7,0.526,0.461,0.291,0.455,456.0,2.3,13.1,7.9,36.6,2.5,0.6,0.9677419354838709,18.8,0.13,26.7,43.88,1.8,1.6,3.4,0.143,2.9,2.5,5.4,1.89,104.4,98.2,0.343,2.54,5.6,13.7,0.406,4.0,9.7,0.415,1.5,4.0,0.383,0.246,0.3307210682492582,4.9,6.2,0.782,5.4,7.3,1.7,0.2,3.9,3.7,17.5,8.2,20.2,5.9,14.3,2.3,5.9,7.2,9.2,8.0,10.8,2.5,0.3,5.7,5.5,25.8,20.2,4.0,3.31,1.127055,0.004246284501061571,6.8781,37.5,53.7,9.2,33.4,27.8,10.0,29.1,61.1,24.5701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6038647342995169,0.3383084577114428,0.927536231884058,0.9023255813953488,0.786046511627907,0.9603960396039604,0.7395348837209302,0.8372093023255814,76.2,8.156,58.08,2.405187700604746,0.719716248616984
383,135091,2021-22,Eric Gaines,SG,PG,Slasher,74,150.0,LSU,SEC,22.0,12.0,8.3,2.0,"Jan 19, 2001",21.44,102.0,34,8,913,14.4,0.509,0.432,0.329,0.498,326.0,2.7,11.1,7.0,20.4,4.4,2.4,3.1058823529411765,23.8,0.185,21.0,31.313,0.5,2.3,2.9,0.125,0.0,5.4,5.4,1.06,95.8,89.2,0.222,-2.93,4.2,10.6,0.391,3.3,7.1,0.46,0.9,3.5,0.25,0.164,0.28411053540587217,4.2,5.3,0.793,5.0,4.4,3.1,0.7,4.1,3.5,13.4,5.9,15.1,4.7,10.1,1.2,5.0,6.0,7.5,7.0,6.2,4.4,1.0,5.8,5.0,19.0,15.1,15.0,14.15,4.394169300000001,0.01642935377875137,4.689184200000001,43.8,51.9,29.1,23.1,35.7,10.0,33.1,75.0,39.88080000000001,2018-19,Atlanta Xpress,UAA 16U,7.0,6.0,20.4,7.86,2.43,7.86,0.309,0.43,1.71,0.25,2.57,4.29,0.6,0.71,1.57,2.29,3.14,2.0,0.0,2.57,2.14,,,,,,,,,,,,,,,,,,,,,,0.6618357487922706,0.2960199004975124,0.6642512077294686,0.3,0.6837209302325581,0.9752475247524752,1.0,0.813953488372093,67.4,3.445,49.362,1.2438203025760184,0.6579898039515995
488,148695,2021-22,Caleb Grill,SG,PG,Shooter,75,196.0,Iowa State,Big 12,22.0,13.0,9.33,3.0,"Jun 15, 2000",22.04,175.0,35,0,844,12.2,0.537,0.532,0.812,0.079,209.0,2.0,11.4,6.5,12.3,2.5,0.9,1.3235294117647058,9.1,0.075,14.2,20.124,1.1,1.6,2.8,0.132,1.5,3.8,5.3,2.52,110.8,95.4,0.155,1.74,3.7,9.6,0.391,1.0,1.8,0.579,2.7,7.8,0.348,0.315,0.4872,0.5,0.8,0.625,4.3,2.5,1.7,0.3,1.0,3.4,10.7,5.6,14.2,1.6,2.7,4.0,11.6,0.7,1.1,6.3,3.7,2.5,0.4,1.5,5.0,15.9,14.2,2.0,7.96,0.36323071999999995,0.002369668246445498,0.6479744,12.4,76.0,63.2,6.4,23.1,33.3,81.2,96.5,88.32600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5169082125603864,0.417910447761194,0.043478260869565216,0.7372093023255814,0.5790697674418605,0.25,0.9023255813953488,0.9069767441860465,54.400000000000006,1.629,51.63,0.5994470136250574,0.5233912522542891
245,116243,2021-22,Cormac Ryan,SG,PG,Shooter,77,194.0,Notre Dame,ACC,24.0,11.0,7.01,3.0,"Oct 26, 1998",23.68,68.0,35,22,1051,15.7,0.604,0.574,0.588,0.261,317.0,2.9,15.5,9.5,11.4,1.8,0.7,1.008,12.4,0.1,15.9,21.965,2.2,1.5,3.7,0.14,2.9,2.4,5.3,1.71,117.8,101.2,0.189,0.53,4.1,9.1,0.454,1.9,3.7,0.52,2.2,5.3,0.407,0.323,0.4810371859296482,1.9,2.4,0.806,6.4,2.5,1.2,0.3,1.4,2.6,12.3,6.2,13.7,2.9,5.7,3.3,8.1,2.9,3.6,9.6,3.8,1.8,0.4,2.2,3.9,18.7,13.7,0.0,0.0,0.0,0.0,1.9778963999999999,22.7,61.1,36.4,18.5,40.9,27.8,58.8,89.5,66.0318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5024154589371981,0.9502487562189055,0.14492753623188406,0.5302325581395348,0.8906976744186047,0.29455445544554454,0.6558139534883721,0.7488372093023256,59.0,2.281,51.045,0.5724230622788749,0.5202544131522518
473,141487,2021-22,Drew Weikert,SG,PG,Shooter,72,170.0,Vanderbilt,SEC,8.0,7.0,8.05,4.0,"Oct 19, 1999",22.7,,15,5,135,13.3,0.663,0.63,0.783,0.174,30.0,0.0,7.9,3.9,10.3,3.9,0.0,0.0,13.8,0.111,10.9,15.359,0.2,0.2,0.5,0.135,0.6,4.7,5.3,1.75,124.7,98.8,0.048,0.49,3.3,6.8,0.478,1.2,1.5,0.8,2.1,5.3,0.389,0.347,0.519773037542662,1.2,1.2,1.0,2.7,2.1,2.7,0.0,1.2,3.0,9.8,4.7,9.9,1.7,2.1,3.0,7.7,1.7,1.7,3.9,3.0,3.9,0.0,1.7,4.3,14.2,9.9,0.0,,,0.0,0.0,0.0,0.0,0.0,21.7,80.0,50.0,78.3,100.0,89.14999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004830917874396135,1.0,0.004830917874396135,0.4930232558139535,0.06976744186046512,0.23267326732673269,0.32558139534883723,0.8,36.6,1.064,0.0,0.19654738862185883,
968,121493,2021-22,Jordan Walker,PG,SG,Scorer,71,170.0,UAB,CUSA,26.0,8.0,-0.14,4,"Aug 11, 1999",22.89,181.0,34,34,1081,22.8,0.554,0.505,0.531,0.272,678.0,0.4,9.4,4.9,29.0,2.6,0.1,0.1925925925925926,16.3,0.121,33.4,52.839,3.5,1.8,5.3,0.196,5.8,-0.6,5.2,1.36,110.5,98.3,0.389,-0.93,8.2,20.4,0.4,3.9,9.6,0.405,4.3,10.8,0.396,0.303,0.4536699029126214,4.9,5.6,0.88,3.5,6.1,1.9,0.0,4.5,2.4,25.5,11.6,29.0,5.5,13.6,6.1,15.4,6.9,7.9,5.0,8.7,2.6,0.1,6.4,3.4,36.3,29.0,0.0,0.0,0.0,0.0,4.562976000000001,17.6,48.5,10.6,29.3,35.8,1.7,53.1,43.1,25.2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13526570048309178,0.8258706467661692,0.9951690821256038,0.541860465116279,0.23255813953488372,0.39851485148514854,0.5255813953488372,0.6837209302325581,54.2,10.403,50.295,1.1196664513312382,0.5567854540670032
326,151480,2021-22,JD Davison,SG,PG,Primary,75,195.0,Alabama,SEC,19.0,14.0,11.59,1.0,"Oct 3, 2002",19.74,13.0,33,5,852,16.0,0.558,0.521,0.388,0.379,333.0,4.5,15.2,9.8,29.4,2.1,1.4,1.68,27.3,0.187,18.8,32.603,1.2,0.8,2.1,0.097,3.3,1.9,5.2,1.51,104.5,105.4,0.266,0.04,4.6,10.0,0.463,3.5,6.2,0.565,1.2,3.9,0.301,0.207,0.33900725689404937,2.8,3.8,0.728,7.4,6.7,1.5,0.6,4.5,1.9,13.2,6.3,13.7,4.7,8.4,1.6,5.3,3.8,5.2,10.1,9.2,2.1,0.8,6.1,2.6,18.1,13.7,9.0,9.23,3.5551929399999995,0.01056338028169014,5.276938599999999,45.8,64.3,15.9,15.4,33.3,0.0,38.8,68.0,33.6662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9516908212560387,0.2835820895522388,0.8526570048309179,0.7209302325581395,0.9093023255813953,0.9851485148514851,0.5953488372093023,0.8441860465116279,76.8,5.056,64.108,3.130466160977587,0.8164435356184426
200,150383,2021-22,Terquavion Smith,SG,PG,Scorer,76,160.0,NC State,ACC,11.0,21.0,6.37,1.0,"Dec 31, 2002",19.5,99.0,32,25,1010,19.8,0.522,0.503,0.569,0.188,478.0,3.1,12.3,7.4,14.7,2.4,1.6,1.92,9.8,0.082,27.5,37.892,2.3,0.5,2.8,0.111,5.1,-0.1,5.1,1.24,108.3,110.5,0.302,-0.93,7.2,18.1,0.398,3.4,7.8,0.437,3.8,10.3,0.369,0.289,0.4476780383795309,2.4,3.4,0.698,5.2,2.7,1.7,0.6,2.1,2.7,20.6,10.6,26.6,5.0,11.5,5.6,15.2,3.5,5.0,7.7,3.9,2.4,0.9,3.1,4.0,30.3,26.6,11.0,9.63,1.9428525,0.01089108910891089,5.366550000000001,25.0,50.0,19.3,18.0,35.4,10.3,57.0,69.8,46.464999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21739130434782608,0.6368159203980099,0.8115942028985508,0.31627906976744186,0.713953488372093,0.8316831683168316,0.5186046511627908,0.541860465116279,57.4,4.289,50.613,2.694612024400896,0.7381671348594503
540,148738,2021-22,Rondel Walker,SG,PG,Shooter,77,180.0,Oklahoma State,Big 12,15.0,15.0,10.58,2.0,"Sep 22, 2001",20.77,104.0,30,8,670,10.7,0.479,0.442,0.59,0.201,143.0,1.9,10.8,6.4,9.1,4.2,0.7,1.2,16.9,0.145,13.7,18.673,0.2,1.5,1.7,0.1,-0.7,5.6,5.0,1.06,95.1,92.9,0.11,-1.34,3.0,8.3,0.36,1.6,3.4,0.474,1.4,4.9,0.28,0.222,0.37977011494252877,1.4,1.7,0.821,4.6,2.0,2.9,0.2,1.9,2.3,8.7,4.3,12.1,2.3,4.9,2.0,7.1,2.0,2.4,6.7,2.9,4.2,0.3,2.7,3.3,12.7,12.1,4.0,9.53,1.5685426999999998,0.005970149253731343,1.9915389999999997,30.2,52.4,45.5,10.8,33.3,20.0,59.0,100.0,74.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39371980676328505,0.4427860696517413,0.028985507246376812,0.20465116279069767,0.5627906976744186,0.4900990099009901,0.9069767441860465,0.8209302325581396,48.1,0.899,42.344,0.5657845833833547,0.48077617086924523
583,131271,2021-22,Malik Curry,SG,PG,Scorer,73,180.0,West Virginia,Big 12,16.0,17.0,10.74,4.0,,,,33,0,619,19.8,0.539,0.465,0.15,0.508,304.0,2.0,12.2,6.8,19.7,3.1,0.9,1.395,15.3,0.13,28.7,39.327,1.2,0.8,2.0,0.131,2.7,2.3,5.0,0.94,104.6,101.8,0.203,-3.24,6.9,15.5,0.446,6.3,13.2,0.48,0.6,2.3,0.25,0.136,0.18749999999999997,6.3,7.9,0.803,4.7,3.3,2.1,0.3,3.5,3.7,20.7,10.1,22.6,9.2,19.2,0.8,3.4,9.2,11.5,6.8,4.8,3.1,0.5,5.1,5.5,30.3,22.6,3.0,3.3,1.1644016999999998,0.004846526655896607,7.9743873999999995,37.9,63.7,6.9,47.1,35.4,15.0,15.0,77.8,21.350099999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8743961352657005,0.2537313432835821,0.6859903381642513,0.19534883720930232,0.6534883720930232,0.9900990099009901,0.7209302325581395,0.9255813953488372,66.2,4.15,69.402,,
501,134162,2021-22,Dajuan Harris,SG,PG,Slasher,73,170.0,Kansas,Big 12,34.0,6.0,11.3,2.0,,,94.0,40,39,1158,11.1,0.494,0.476,0.301,0.117,281.0,1.6,3.6,2.7,22.7,2.9,1.1,1.5950000000000002,21.3,0.135,11.9,21.534,1.2,1.7,3.0,0.102,1.2,3.8,5.0,2.81,107.0,100.3,0.222,4.4,3.0,7.1,0.427,2.3,5.0,0.472,0.7,2.1,0.323,0.196,0.3116121794871795,0.7,0.8,0.792,1.9,5.7,2.0,0.4,2.0,2.7,7.4,4.4,10.2,3.4,7.2,1.0,3.1,0.9,1.2,2.7,8.2,2.9,0.6,2.9,3.9,10.7,10.2,3.0,3.7,0.9504856,0.0025906735751295338,2.6202576,39.4,57.5,34.8,30.5,33.9,4.8,30.0,90.0,42.1752,2018-19,MoKan Elite,Nike 17U,10.0,3.0,12.6,5.6,2.2,4.1,0.537,0.4,0.6,0.667,0.8,1.6,0.5,0.0,2.4,2.4,5.9,1.6,0.2,1.9,1.8,,,,,,,,,,,,,,,,,,,,,,0.7922705314009661,0.31343283582089554,0.3695652173913043,0.9627906976744186,0.020930232558139535,0.5,0.7976744186046512,0.8511627906976744,57.599999999999994,2.457,49.613,,
234,121509,2021-22,David Collins,SG,PG,Slasher,76,220.0,Clemson,ACC,17.0,15.0,6.31,4.0,"May 31, 1998",24.08,212.0,32,32,922,18.7,0.57,0.553,0.222,0.587,334.0,4.8,23.6,14.4,15.8,3.3,0.8,1.2878048780487805,17.3,0.138,20.1,28.272,1.7,1.6,3.3,0.143,1.7,3.3,5.0,1.25,108.5,97.3,0.23,-1.12,5.0,9.8,0.511,4.2,7.6,0.549,0.8,2.2,0.38,0.219,0.280265780730897,3.4,5.7,0.598,9.6,3.3,2.2,0.3,2.6,3.9,14.2,7.5,14.6,6.3,11.4,1.2,3.3,5.1,8.6,14.5,4.9,3.3,0.4,3.9,5.9,21.4,14.6,6.0,5.56,1.8763220799999996,0.006507592190889371,4.927032799999999,47.8,63.6,29.4,30.4,41.2,14.3,21.9,94.7,39.1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9565217391304348,0.5621890547263682,0.43478260869565216,0.34651162790697676,0.9906976744186047,0.9108910891089109,0.858139534883721,0.6744186046511628,71.7,3.235,59.259,0.5904497803429353,0.515389321695451
979,159536,2021-22,Mark Sears,SG,PG,Scorer,73,185.0,Ohio,MAC,25.0,10.0,-4.17,2,,,227.0,35,35,1250,24.6,0.578,0.505,0.299,0.438,707.0,6.0,13.9,9.7,24.7,2.7,0.4,0.6967741935483871,15.9,0.123,28.6,42.311,4.3,1.9,6.2,0.198,4.5,0.4,4.9,1.29,114.6,99.8,0.403,-1.27,7.0,15.7,0.444,5.1,11.0,0.459,1.9,4.7,0.408,0.265,0.3450975954738331,6.1,6.9,0.884,6.7,4.6,1.9,0.1,3.6,2.1,22.0,10.1,22.8,7.3,16.0,2.8,6.8,8.8,10.0,9.7,6.7,2.7,0.2,5.2,3.1,31.8,22.8,1.0,0.47,0.16793053,0.0008,8.1464172,43.1,55.2,17.1,27.0,30.8,24.4,29.9,53.3,29.894799999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7681159420289855,0.582089552238806,0.8792270531400966,0.4604651162790698,0.9023255813953488,0.7846534653465347,0.6139534883720931,0.6139534883720931,70.1,6.834,59.079,,
